"","Year","ID_IPEDS","degree_bach","public","enroll_ftug","grant_federal","grant_state"
"1",2010,219505,1,0,8,19625,1000
"2",2010,219578,1,0,17,52356,55500
"3",2010,219602,1,1,1478,3670314,4688179
"4",2010,219639,1,0,53,90417,181500
"5",2010,219709,1,0,1015,844190,1355500
"6",2010,219718,1,0,421,538911,564875
"7",2010,219790,1,0,233,575528,680400
"8",2010,219806,1,0,427,1031328,1392763
"9",2010,219824,0,1,1418,4232248,1052264
"10",2010,219833,1,0,288,711982,1257500
"11",2010,219879,0,1,645,1848675,735063
"12",2010,219888,0,1,892,2080610,1183706
"13",2010,219903,0,0,1103,3705768,294726
"14",2010,219921,0,1,172,746421,325357
"15",2010,219949,1,0,163,300840,582000
"16",2010,219976,1,0,668,1161924,1704727
"17",2010,219994,0,1,476,819298,567407
"18",2010,220002,1,0,208,508992,32004
"19",2010,220057,0,1,726,2316297,582391
"20",2010,220075,1,1,2053,4880692,6481501
"21",2010,220118,0,0,64,308948,10080
"22",2010,220127,0,1,795,1353588,582333
"23",2010,220181,1,0,194,589785,219500
"24",2010,220206,1,0,44,65060,60000
"25",2010,220215,1,0,371,829424,985300
"26",2010,220251,0,1,341,749483,386688
"27",2010,220279,0,1,317,429325,298224
"28",2010,220312,1,0,57,179518,62425
"29",2010,220321,0,1,471,564507,398170
"30",2010,220394,0,1,83,389950,101039
"31",2010,220400,0,1,1013,3334073,998248
"32",2010,220464,0,0,19,30470,15745
"33",2010,220473,1,0,157,360206,291819
"34",2010,220516,1,0,227,527333,471750
"35",2010,220552,1,0,299,1314754,455555
"36",2010,220598,1,0,696,3714363,802452
"37",2010,220604,1,0,207,468001,137820
"38",2010,220613,1,0,851,1608577,1616339
"39",2010,220631,1,0,327,892842,1228244
"40",2010,220640,0,1,280,583280,299624
"41",2010,220701,1,0,263,67633,101391
"42",2010,220710,1,0,277,730442,1016100
"43",2010,220756,0,1,233,470545,387495
"44",2010,220808,1,0,76,216843,108375
"45",2010,220853,0,1,659,2464685,598000
"46",2010,220862,1,1,2386,6714124,8145587
"47",2010,220978,1,1,3793,9647451,14213904
"48",2010,221050,0,1,463,639222,558674
"49",2010,221096,0,1,1009,2246656,959406
"50",2010,221102,0,1,457,657663,431680
"51",2010,221148,0,0,1639,5053253,19000
"52",2010,221184,0,1,889,2743702,439323
"53",2010,221236,0,1,181,881350,356950
"54",2010,221254,1,0,29,69750,93250
"55",2010,221281,0,1,363,1578732,104890
"56",2010,221333,0,1,328,1091020,488482
"57",2010,221351,1,0,499,495013,631250
"58",2010,221388,0,1,147,461279,5493
"59",2010,221397,0,1,1217,3437324,1630837
"60",2010,221430,0,1,294,869852,469800
"61",2010,221485,0,1,1798,6203854,772382
"62",2010,221494,0,1,531,508572,535598
"63",2010,221519,1,0,401,371880,439470
"64",2010,221582,0,1,336,887243,323161
"65",2010,221591,0,1,147,664096,246829
"66",2010,221607,0,1,189,422584,218758
"67",2010,221616,0,1,641,2416556,1211888
"68",2010,221625,0,1,650,980558,656347
"69",2010,221634,0,1,209,1005942,26400
"70",2010,221643,0,1,1762,4157443,1481376
"71",2010,221661,1,0,613,1065696,426454
"72",2010,221731,1,0,218,609257,887527
"73",2010,221740,1,1,1940,3487620,7708992
"74",2010,221759,1,1,4199,6159151,16829052
"75",2010,221768,1,1,1275,3488456,5266099
"76",2010,221795,1,0,69,175000,16000
"77",2010,221838,1,1,1291,5662818,2069288
"78",2010,221847,1,1,1899,3762762,7839909
"79",2010,221892,1,0,241,561572,497000
"80",2010,221908,0,1,1140,3364568,1085461
"81",2010,221953,1,0,370,1411942,1069127
"82",2010,221971,1,0,489,941550,1431662
"83",2010,221999,1,0,1600,2204907,1122384
"84",2010,222053,0,1,1414,3827036,1456974
"85",2010,222062,0,1,1415,3732574,1885322
"86",2010,222105,0,0,22,29612,0
"87",2010,246202,0,0,348,1179023,6500
